range,exit,filter,n,win,pf,exp,total,t,hold,tgt,stp
30,prev_day,all,855,0.4409356725146199,0.8632751390107786,-0.4610058479532138,-394.1599999999978,-1.8717720803896603,214.02923976608187,0.10409356725146199,0.38362573099415204
30,prev_day,corr<=0.5,514,0.4357976653696498,0.8748008611410136,-0.4525680933852079,-232.61999999999688,-1.3061537764769438,210.69066147859922,0.10894941634241245,0.3968871595330739
30,prev_day,corr>0.5,341,0.44868035190615835,0.8423800091718942,-0.473724340175956,-161.540000000001,-1.387160780380497,219.0615835777126,0.0967741935483871,0.36363636363636365
30,asia,all,794,0.45591939546599497,0.8133457681387072,-0.6226070528967219,-494.34999999999724,-2.453804418464061,189.48992443324937,0.1952141057934509,0.380352644836272
30,asia,corr<=0.5,472,0.4491525423728814,0.7989725144691533,-0.7270550847457595,-343.1699999999985,-1.9920999686244762,190.67796610169492,0.1864406779661017,0.3983050847457627
30,asia,corr>0.5,322,0.4658385093167702,0.8394093902698124,-0.4695031055900584,-151.1799999999988,-1.4306942064156698,187.74844720496895,0.2080745341614907,0.35403726708074534
30,london,all,974,0.4455852156057495,0.8195862244341915,-0.6118583162217673,-595.9500000000014,-2.809978461652211,193.31622176591375,0.17967145790554415,0.39117043121149897
30,london,corr<=0.5,592,0.4527027027027027,0.832003276882442,-0.6027364864864867,-356.8200000000001,-2.028102164988276,189.11317567567568,0.1891891891891892,0.40033783783783783
30,london,corr>0.5,382,0.43455497382198954,0.7972220102266646,-0.6259947643979095,-239.13000000000142,-1.975773112003874,199.82984293193718,0.1649214659685864,0.3769633507853403
60,ny+90m,all,505,0.5287128712871287,0.9517534502847135,-0.05821782178218656,-29.400000000004212,-0.3585232041775456,17.128712871287128,0.0,0.02178217821782178
60,ny+90m,corr<=0.5,311,0.5176848874598071,0.8938962759432765,-0.13906752411576093,-43.25000000000165,-0.6613029743640344,16.816720257234728,0.0,0.028938906752411574
60,ny+90m,corr>0.5,194,0.5463917525773195,1.0686493184634311,0.07139175257730644,13.849999999997449,0.28356305715602487,17.628865979381445,0.0,0.010309278350515464
60,ny+2h,all,544,0.5073529411764706,0.9683644416323912,-0.05514705882353527,-30.000000000003183,-0.23931473206115964,44.36580882352941,0.0,0.0661764705882353
60,ny+2h,corr<=0.5,330,0.49696969696969695,0.8874509076290288,-0.22057575757576298,-72.79000000000178,-0.7944271463312308,43.878787878787875,0.0,0.08181818181818182
60,ny+2h,corr>0.5,214,0.5233644859813084,1.141895476853689,0.19995327102803076,42.789999999998585,0.6858475608074455,45.11682242990654,0.0,0.04205607476635514
60,ny_lunch,all,544,0.5257352941176471,1.0216835917111524,0.04352941176470268,23.67999999999826,0.13413259242757442,71.82904411764706,0.0,0.09926470588235294
60,ny_lunch,corr<=0.5,330,0.5151515151515151,0.8990977217816236,-0.22400000000000095,-73.92000000000031,-0.9451163613924193,70.92424242424242,0.0,0.11212121212121212
60,ny_lunch,corr>0.5,214,0.5420560747663551,1.271503282519191,0.45607476635513333,97.59999999999853,1.401816657873487,73.22429906542057,0.0,0.0794392523364486
60,ny_close,all,533,0.46153846153846156,0.9470203000777779,-0.16741088180113511,-89.23000000000502,-0.4491482664058384,269.8780487804878,0.0,0.2176360225140713
60,ny_close,corr<=0.5,322,0.4472049689440994,0.8432270162248716,-0.5530434782608916,-178.0800000000071,-1.3610575166605483,265.04658385093165,0.0,0.2360248447204969
60,ny_close,corr>0.5,211,0.4834123222748815,1.1620404143565857,0.42109004739337486,88.8500000000021,1.1170082176696738,277.25118483412325,0.0,0.1895734597156398
60,range_mid,all,538,0.5371747211895911,0.9360352863931545,-0.18289033457249565,-98.39500000000265,-0.6099738371260757,174.07063197026022,0.4033457249070632,0.19888475836431227
60,range_mid,corr<=0.5,324,0.5277777777777778,0.8556364622266951,-0.4601543209876666,-149.09000000000398,-1.2707805262424017,176.46604938271605,0.3765432098765432,0.21604938271604937
60,range_mid,corr>0.5,214,0.5514018691588785,1.1002808933198855,0.23689252336449193,50.69500000000127,0.6796765657347705,170.44392523364485,0.4439252336448598,0.17289719626168223
60,range_far,all,536,0.47388059701492535,0.8806262937466878,-0.3701119402985172,-198.3800000000052,-1.0417813362180441,241.3339552238806,0.15111940298507462,0.2126865671641791
60,range_far,corr<=0.5,323,0.46439628482972134,0.7766901357856125,-0.7698452012384092,-248.66000000000616,-1.9763242826792333,241.625386996904,0.12693498452012383,0.22910216718266255
60,range_far,corr>0.5,213,0.48826291079812206,1.0916982783775928,0.2360563380281735,50.28000000000095,0.7910733812954439,240.89201877934272,0.18779342723004694,0.18779342723004694
60,prev_day,all,478,0.4665271966527197,0.9030868867035596,-0.30554393305439764,-146.0500000000021,-0.7591963818971105,257.14435146443515,0.07322175732217573,0.20711297071129708
60,prev_day,corr<=0.5,285,0.45964912280701753,0.8307774733883889,-0.5873684210526487,-167.4000000000049,-1.2057995852869208,253.94736842105263,0.07017543859649122,0.21754385964912282
60,prev_day,corr>0.5,193,0.47668393782383417,1.0412329322698448,0.11062176165804516,21.350000000002716,0.402460136722163,261.86528497409324,0.07772020725388601,0.19170984455958548
60,asia,all,446,0.4910313901345291,0.8906634090772798,-0.3271076233183967,-145.89000000000493,-0.8783258961417464,239.71973094170403,0.14573991031390135,0.19730941704035873
60,asia,corr<=0.5,264,0.49242424242424243,0.815938615108326,-0.5978787878788143,-157.84000000000697,-1.3166816838584974,237.06439393939394,0.14393939393939395,0.20833333333333334
60,asia,corr>0.5,182,0.489010989010989,1.025063970804149,0.06565934065935168,11.950000000002007,0.2619758847055102,243.57142857142858,0.14835164835164835,0.1813186813186813
60,london,all,531,0.4821092278719397,0.9162188931533949,-0.2548775894538731,-135.34000000000663,-0.7603811469921297,247.2975517890772,0.11487758945386065,0.21092278719397364
60,london,corr<=0.5,320,0.48125,0.8284664692431617,-0.5720000000000248,-183.04000000000795,-1.5757231771757743,241.28125,0.115625,0.225
60,london,corr>0.5,211,0.4834123222748815,1.0869929967901995,0.22606635071090675,47.700000000001324,0.7334973558611529,256.4218009478673,0.11374407582938388,0.1895734597156398
