range,exit,filter,stop,n,win,pf,exp,total,t,hold,tgt,stp
15,ny+90m,all,range_opp,1207,0.43247721623860813,0.8986575378320854,-0.24379453189726707,-294.26000000000136,-1.4098989916642286,49.28748964374482,0.0,0.2435791217895609
15,ny+90m,corr<=0.5,range_opp,728,0.4368131868131868,0.9453695353739565,-0.13064560439560888,-95.11000000000327,-0.948472312297619,49.56043956043956,0.0,0.24313186813186813
15,ny+90m,all,none,1207,0.45567522783761394,0.8923145635986702,-0.2676719138359553,-323.07999999999805,-1.3423629682803715,58.47970173985087,0.0,0.0
15,ny+2h,all,range_opp,1214,0.44069192751235586,0.9342441290515936,-0.1734925864909419,-210.62000000000347,-0.8387734046299151,70.67957166392092,0.0,0.2981878088962109
15,ny+2h,corr<=0.5,range_opp,731,0.45006839945280436,0.9951524807739357,-0.012735978112179538,-9.310000000003242,-0.23664572455942978,71.13543091655266,0.0,0.2954856361149111
15,ny+2h,all,none,1214,0.46622734761120266,0.8960379344229886,-0.29455518945634307,-357.5900000000005,-1.2028290861619473,88.14250411861615,0.0,0.0
15,ny_lunch,all,range_opp,1214,0.4233937397034596,0.9335376432150627,-0.1864991762767718,-226.41000000000096,-0.9059278517264218,91.21911037891269,0.0,0.3245469522240527
15,ny_lunch,corr<=0.5,range_opp,731,0.4377564979480164,1.006368738144612,0.017729138166889227,12.959999999996025,-0.08450403069173479,91.58002735978113,0.0,0.32558139534883723
15,ny_lunch,all,none,1214,0.4596375617792422,0.906113933974831,-0.2850741350906077,-346.07999999999777,-1.2492888355862746,118.14250411861615,0.0,0.0
15,ny_close,all,range_opp,1198,0.39148580968280466,0.9422377729855398,-0.20077629382303483,-240.5299999999957,-0.8280031094677033,233.1010016694491,0.0,0.4515859766277129
15,ny_close,corr<=0.5,range_opp,721,0.391123439667129,0.9642842741122493,-0.12284327323162118,-88.56999999999887,-0.6209045128433995,234.24410540915395,0.0,0.44660194174757284
15,ny_close,all,none,1174,0.46252129471890974,0.9112858856895776,-0.37221465076660276,-436.97999999999166,-1.2595491084332011,358.0025553662692,0.0,0.0
15,prev_day,all,range_opp,811,0.44143033292231815,0.9178599497013525,-0.25774352651048077,-209.0299999999999,-0.9628733659109859,178.98273736128237,0.19112207151664612,0.43773119605425403
15,prev_day,corr<=0.5,range_opp,491,0.4480651731160896,1.0175667711430783,0.05342158859469986,26.22999999999763,0.05107018696872245,177.87169042769858,0.20366598778004075,0.4256619144602851
15,prev_day,all,none,788,0.5190355329949239,0.8417259510299975,-0.6276269035532934,-494.5699999999952,-1.7549848442369025,296.33248730964465,0.2182741116751269,0.0
15,asia,all,range_opp,558,0.471326164874552,0.8432684365781731,-0.4760931899641534,-265.6599999999976,-1.4242019367429835,139.39964157706092,0.32437275985663083,0.42473118279569894
15,asia,corr<=0.5,range_opp,335,0.47761194029850745,0.9044627383015601,-0.28961194029850884,-97.02000000000046,-0.6702960916687466,146.08955223880596,0.31343283582089554,0.41194029850746267
15,asia,all,none,541,0.5489833641404805,0.7868409390841961,-0.8090942698705998,-437.7199999999945,-1.8614165631521846,250.5637707948244,0.36414048059149723,0.0
15,london,all,range_opp,701,0.5164051355206848,0.9369230850240389,-0.17088445078459089,-119.7899999999982,-0.8589706306754582,116.50499286733238,0.4136947218259629,0.39514978601997147
15,london,corr<=0.5,range_opp,433,0.5219399538106235,1.022105680135026,0.05928406466511936,25.669999999996683,-0.11822984719002902,120.54272517321016,0.4133949191685912,0.3810623556581986
15,london,all,none,685,0.5956204379562043,0.8534310807111184,-0.49237956204378946,-337.27999999999577,-1.5411939090265545,220.08759124087592,0.46277372262773725,0.0
15,prev_hour,all,range_opp,456,0.5504385964912281,0.858281455900395,-0.34197368421052904,-155.94000000000125,-1.7246032586219977,78.78289473684211,0.5175438596491229,0.3815789473684211
15,prev_hour,corr<=0.5,range_opp,287,0.5644599303135889,0.9547812209070332,-0.10662020905924058,-30.600000000002048,-0.734069344963214,78.62369337979094,0.5331010452961672,0.36585365853658536
15,prev_hour,all,none,451,0.6208425720620843,0.771124486200824,-0.691396895787134,-311.81999999999744,-2.3279363376341826,179.17960088691797,0.5720620842572062,0.0
15,measured_move,all,range_opp,1208,0.5488410596026491,0.9434683621705544,-0.15765728476821067,-190.44999999999848,-0.7510886070828022,103.74172185430463,0.48923841059602646,0.35844370860927155
15,measured_move,corr<=0.5,range_opp,726,0.5495867768595041,1.0157528996985328,0.04246556473828797,30.829999999997064,0.005967186501677284,101.46005509641873,0.49586776859504134,0.35399449035812675
15,measured_move,all,none,1197,0.6182121971595655,0.89846966055327,-0.3267919799498713,-391.169999999996,-1.347365446625406,195.2297410192147,0.5488721804511278,0.0
30,ny+60m,all,range_opp,776,0.43170103092783507,0.8243320814130864,-0.276056701030924,-214.21999999999701,-1.7538073989560998,18.466494845360824,0.0,0.037371134020618556
30,ny+60m,corr<=0.5,range_opp,463,0.4449244060475162,0.8440742725985798,-0.24503239740820543,-113.44999999999911,-1.3957303958352578,18.444924406047516,0.0,0.04103671706263499
30,ny+60m,all,none,776,0.43170103092783507,0.8267456205280049,-0.2714690721649464,-210.65999999999843,-1.711937657471045,18.93041237113402,0.0,0.0
30,ny+90m,all,range_opp,1002,0.44510978043912175,0.8862410973100056,-0.2322554890219586,-232.72000000000253,-1.360120917419336,39.73552894211577,0.0,0.0968063872255489
30,ny+90m,corr<=0.5,range_opp,599,0.46243739565943237,0.9353880309510572,-0.1321535893155302,-79.16000000000258,-0.7938911085354133,39.64941569282137,0.0,0.08848080133555926
30,ny+90m,all,none,1002,0.4481037924151697,0.8629412462908004,-0.2881037924151719,-288.6800000000023,-1.5620051660924619,42.20558882235529,0.0,0.0
30,ny+2h,all,range_opp,1018,0.47053045186640474,0.9502630828976971,-0.11486247544204564,-116.93000000000247,-0.5090014925163532,65.35363457760315,0.0,0.1444007858546169
30,ny+2h,corr<=0.5,range_opp,607,0.48929159802306427,1.0083030362582277,0.019489291598019386,11.829999999997767,0.034778274308520256,65.67545304777595,0.0,0.13344316309719934
30,ny+2h,all,none,1018,0.4764243614931238,0.9086330877190153,-0.22241650294695625,-226.42000000000147,-0.9461628920857295,71.54223968565816,0.0,0.0
30,ny_lunch,all,range_opp,1018,0.4577603143418468,0.9247244154556208,-0.19386051080550137,-197.3500000000004,-0.8454948072631528,90.53045186640472,0.0,0.17288801571709234
30,ny_lunch,corr<=0.5,range_opp,607,0.4827018121911038,0.9943450957891024,-0.014612850082378417,-8.8700000000037,0.005759662682451444,91.07084019769357,0.0,0.16639209225700163
30,ny_lunch,all,none,1018,0.4675834970530452,0.8840181037183207,-0.3164243614931216,-322.1199999999978,-1.3570267898010648,101.54223968565816,0.0,0.0
30,ny_close,all,range_opp,999,0.44344344344344344,0.9750425343269993,-0.08340340340340392,-83.32000000000052,-0.33035330399048307,268.5885885885886,0.0,0.3033033033033033
